frame,id,nose_x,nose_y
119,1,1204,305
119,3,2965,370
120,1,1204,306
120,3,2960,373
121,1,1204,307
121,3,2945,373
122,1,1206,309
122,3,2937,368
123,1,1204,309
123,3,2927,371
124,1,1204,310
124,3,2915,368
125,1,1204,310
125,3,2909,366
126,1,1203,310
126,3,2897,362
127,1,1204,310
127,3,2876,379
128,1,1202,311
128,3,2868,380
129,1,1201,311
129,3,2868,365
130,1,1200,311
130,3,2858,365
131,1,1200,313
131,3,2848,364
132,1,1201,314
132,3,2841,367
133,1,1200,314
133,3,2831,364
134,1,1200,317
134,3,2821,364
135,1,1200,316
135,3,2814,373
136,1,1198,318
136,3,2801,373
137,1,1198,317
137,3,2780,394
138,1,1198,317
138,3,2765,385
139,1,1199,318
139,3,2751,385
140,1,1198,318
140,3,2746,379
141,1,1197,318
141,3,2742,374
142,1,1196,317
142,3,2731,377
143,1,1194,316
143,3,2719,372
144,1,1195,315
144,3,2707,377
145,1,1195,314
145,3,2701,369
146,1,1194,313
146,3,2688,363
147,1,1194,314
147,3,2669,359
148,1,1194,313
148,3,2661,355
149,1,1194,312
149,3,2650,358
150,1,1196,312
150,3,2650,353
151,1,1195,314
151,3,2639,356
152,1,1197,313
152,3,2627,354
153,1,1197,312
153,3,2620,352
154,1,1195,312
154,3,2615,350
155,1,1194,311
155,3,2606,357
156,1,1193,311
156,3,2590,357
157,1,1192,310
157,3,2574,351
158,1,1193,308
158,3,2566,353
159,1,1191,306
159,3,2562,353
159,7,2858,260
160,1,1191,305
160,3,2558,364
160,7,2857,260
161,1,1194,305
161,3,2547,356
161,7,2854,261
162,1,1196,305
162,3,2541,339
162,7,2854,248
163,1,1194,304
163,3,2537,340
163,7,2847,247
164,1,1194,304
164,3,2528,349
164,7,2834,246
164,8,3826,393
165,1,1190,303
165,3,2510,347
165,7,2821,245
165,8,3822,382
166,1,1190,303
166,3,2501,349
166,7,2813,244
166,8,3807,326
167,1,1187,302
167,3,2485,346
167,7,2815,242
167,8,3812,331
168,1,1189,302
168,3,2484,345
168,7,2812,242
168,8,3814,324
169,1,1184,303
169,3,2482,342
169,7,2808,242
169,8,3807,310
170,1,1185,302
170,3,2464,337
170,7,2797,244
170,8,3790,298
171,1,1185,303
171,3,2462,343
171,7,2797,244
171,8,3783,297
172,1,1186,300
172,3,2472,342
172,7,2808,244
172,8,3782,307
173,1,1186,298
173,3,2456,336
173,7,2805,245
173,8,3783,318
174,1,1190,298
174,3,2441,336
174,7,2802,248
174,8,3767,326
175,1,1191,297
175,3,2434,333
175,7,2801,249
175,8,3779,315
176,1,1190,295
176,3,2419,332
176,7,2804,248
176,8,3793,299
177,1,1191,295
177,3,2422,339
177,7,2802,248
177,8,3782,302
178,1,1192,293
178,3,2414,339
178,7,2804,247
178,8,3769,286
179,1,1191,290
179,3,2394,334
179,7,2798,247
179,8,3769,273
180,1,1192,292
180,3,2394,335
180,7,2789,247
180,8,3762,279
181,1,1191,287
181,3,2380,332
181,7,2786,246
181,8,3709,277
182,1,1187,288
182,3,2370,332
182,7,2776,245
182,8,3723,288
183,1,1186,287
183,3,2403,327
183,7,2776,247
183,8,3712,290
184,1,1181,286
184,3,2362,324
184,7,2767,247
184,8,3663,288
185,1,1178,284
185,3,2347,324
185,7,2745,256
185,8,3659,296
186,1,1180,280
186,3,2345,327
186,7,2747,257
186,8,3648,295
187,1,1176,278
187,3,2318,328
187,7,2750,260
187,8,3636,298
188,1,1176,277
188,3,2313,330
188,7,2751,261
188,8,3626,290
189,1,1176,278
189,3,2301,333
189,7,2746,260
189,8,3613,298
190,1,1171,278
190,3,2293,333
190,7,2737,260
190,8,3596,295
191,1,1168,278
191,3,2294,327
191,7,2733,260
191,8,3612,287
192,1,1166,279
192,3,2287,332
192,7,2716,264
192,8,3621,283
193,1,1163,278
193,3,2308,329
193,7,2726,262
193,8,3601,288
194,1,1161,278
194,3,2290,331
194,7,2719,261
194,8,3561,287
195,1,1161,277
195,3,2267,337
195,7,2717,261
195,8,3562,286
196,1,1161,278
196,3,2263,346
196,7,2697,262
196,8,3576,285
197,1,1161,277
197,3,2249,343
197,7,2690,265
197,8,3575,280
198,1,1158,280
198,3,2231,351
198,7,2688,265
198,8,3541,284
199,1,1159,278
199,3,2224,356
199,7,2683,267
199,8,3533,289
200,1,1158,277
200,3,2221,349
200,7,2692,269
200,8,3524,288
201,1,1158,277
201,3,2208,345
201,7,2688,271
201,8,3498,286
202,1,1155,279
202,3,2192,348
202,7,2675,271
202,8,3487,295
203,1,1157,278
203,3,2192,348
203,7,2667,272
203,8,3477,302
204,1,1156,280
204,3,2191,355
204,7,2663,277
204,8,3482,295
205,1,1153,283
205,3,2172,355
205,7,2661,282
205,8,3474,279
206,1,1152,285
206,3,2161,352
206,8,3475,288
207,1,1150,284
207,3,2155,353
207,8,3467,287
208,1,1149,284
208,3,2142,360
208,8,3456,300
209,1,1148,284
209,3,2134,360
209,8,3438,307
210,1,1146,284
210,3,2120,359
210,8,3430,290
211,1,1147,284
211,3,2103,360
211,8,3426,301
212,1,1146,284
212,3,2099,356
212,8,3417,298
213,1,1145,284
213,3,2107,357
213,8,3409,296
214,1,1145,285
214,3,2111,354
214,8,3411,303
215,1,1145,284
215,3,2104,363
215,8,3392,295
216,1,1144,283
216,3,2089,369
216,8,3386,292
217,1,1141,285
217,3,2081,376
217,8,3381,302
218,1,1140,285
218,3,2080,371
218,8,3371,301
219,1,1140,286
219,3,2071,373
219,8,3355,300
220,1,1141,287
220,3,2064,375
220,8,3338,308
221,1,1141,288
221,3,2055,375
221,8,3332,310
222,1,1141,290
222,3,2046,377
222,8,3320,312
223,1,1138,291
223,3,2022,379
223,8,3306,307
224,1,1138,293
224,3,2017,379
224,8,3305,310
225,1,1135,293
225,3,2013,384
225,8,3293,299
226,1,1134,295
226,3,2000,391
226,8,3291,302
227,1,1131,297
227,3,1988,392
227,8,3276,308
227,12,3464,257
228,1,1131,298
228,3,1983,396
228,8,3264,306
229,1,1131,301
229,3,1971,393
229,8,3251,308
230,1,1129,303
230,3,1976,399
230,8,3242,305
231,1,1129,305
231,3,1971,401
231,8,3234,302
231,12,3443,241
232,1,1129,307
232,3,1965,406
232,8,3226,305
232,12,3445,260
233,1,1128,308
233,3,1940,406
233,8,3219,307
233,12,3436,261
234,1,1128,310
234,3,1921,406
234,8,3214,312
234,12,3431,270
235,1,1127,311
235,3,1916,408
235,8,3207,315
235,12,3433,297
236,1,1126,313
236,3,1906,407
236,8,3204,313
236,12,3416,271
237,1,1125,316
237,3,1901,407
237,8,3195,315
238,1,1125,317
238,3,1896,410
238,8,3183,317
239,1,1125,318
239,3,1913,409
239,8,3173,314
240,1,1125,320
240,3,1922,405
240,8,3162,324
241,1,1124,322
241,3,1898,405
241,8,3140,324
242,1,1124,324
242,3,1878,408
242,8,3139,320
242,12,3357,248
243,1,1132,324
243,3,1888,407
243,8,3131,322
243,12,3350,257
244,1,1134,328
244,3,1881,409
244,8,3122,314
244,12,3333,260
245,1,1135,330
245,3,1840,414
245,8,3119,311
245,12,3339,273
246,1,1136,329
246,3,1831,414
246,8,3112,313
246,12,3314,272
247,1,1137,335
247,3,1836,411
247,8,3105,313
247,12,3304,264
248,1,1136,334
248,3,1815,410
248,8,3094,307
249,1,1128,336
249,3,1808,409
249,8,3093,310
249,12,3278,266
250,1,1127,335
250,3,1805,408
250,8,3086,307
250,12,3266,267
251,1,1127,336
251,3,1820,412
251,8,3081,314
251,12,3257,269
252,1,1127,336
252,3,1857,406
